Date,State,18+ Dose 1,18+ Dose 2,18+ Total Doses,15-18 Dose 1,15-18 Dose 2,15-18 Total Doses,12-14 Dose 1,12-14 Dose 2,12-14 Total Doses,18-59 Booster Dose,60+ Booster Dose,Booster Total Doses,Total Doses,Week,Month,Year
2021-02-26,Chandigarh,18894,1568,20462,0,0,0,0,0,0,0,0,0,20462,WK 08-2021,Feb-2021,2021
2021-02-26,Chhattisgarh,373644,48347,421991,0,0,0,0,0,0,0,0,0,421991,WK 08-2021,Feb-2021,2021
2021-02-26,Dadara & Nagar Havelli,5252,337,5589,0,0,0,0,0,0,0,0,0,5589,WK 08-2021,Feb-2021,2021
2021-02-26,Daman & Diu,2151,254,2405,0,0,0,0,0,0,0,0,0,2405,WK 08-2021,Feb-2021,2021
2021-02-26,NCT of Delhi,362072,34567,396639,0,0,0,0,0,0,0,0,0,396639,WK 08-2021,Feb-2021,2021
2021-02-26,Goa,17875,1918,19793,0,0,0,0,0,0,0,0,0,19793,WK 08-2021,Feb-2021,2021
2021-02-26,Gujarat,832737,125357,958094,0,0,0,0,0,0,0,0,0,958094,WK 08-2021,Feb-2021,2021
2021-02-26,Haryana,220672,68361,289033,0,0,0,0,0,0,0,0,0,289033,WK 08-2021,Feb-2021,2021
2021-02-26,Himachal Pradesh,100723,17041,117764,0,0,0,0,0,0,0,0,0,117764,WK 08-2021,Feb-2021,2021
2021-02-26,Jammu & Kashmir,230494,13391,243885,0,0,0,0,0,0,0,0,0,243885,WK 08-2021,Feb-2021,2021
2021-02-26,Jharkhand,280339,19440,299779,0,0,0,0,0,0,0,0,0,299779,WK 08-2021,Feb-2021,2021
2021-02-26,Karnataka,596274,192934,789208,0,0,0,0,0,0,0,0,0,789208,WK 08-2021,Feb-2021,2021
2021-02-26,Kerala,441597,88877,530474,0,0,0,0,0,0,0,0,0,530474,WK 08-2021,Feb-2021,2021
2021-02-26,Ladakh,8753,748,9501,0,0,0,0,0,0,0,0,0,9501,WK 08-2021,Feb-2021,2021
2021-02-26,Lakshadweep,2353,688,3041,0,0,0,0,0,0,0,0,0,3041,WK 08-2021,Feb-2021,2021
2021-02-26,Madhya Pradesh,649377,131088,780465,0,0,0,0,0,0,0,0,0,780465,WK 08-2021,Feb-2021,2021
2021-02-26,Maharashtra,1010322,131968,1142290,0,0,0,0,0,0,0,0,0,1142290,WK 08-2021,Feb-2021,2021
