Date,State,Confirmed,Recovered,Deaths,State_Code,Active,Week,Month,Year
2020-04-13,Puducherry,7,1,0,34,6,WK 15-2020,Apr-2020,2020
2020-04-13,Punjab,167,14,11,3,142,WK 15-2020,Apr-2020,2020
2020-04-13,Rajasthan,812,21,3,8,788,WK 15-2020,Apr-2020,2020
2020-04-13,Sikkim,0,0,0,11,0,WK 15-2020,Apr-2020,2020
2020-04-13,Tamil Nadu,1075,50,11,33,1014,WK 15-2020,Apr-2020,2020
2020-04-13,Telangana,562,100,16,36,446,WK 15-2020,Apr-2020,2020
2020-04-13,Tripura,2,0,0,16,2,WK 15-2020,Apr-2020,2020
2020-04-13,Uttar Pradesh,483,47,5,9,431,WK 15-2020,Apr-2020,2020
2020-04-13,Uttarakhand,35,5,0,5,30,WK 15-2020,Apr-2020,2020
2020-04-13,West Bengal,152,29,7,19,116,WK 15-2020,Apr-2020,2020
2020-04-14,Andaman & Nicobar Island,11,10,0,35,1,WK 15-2020,Apr-2020,2020
2020-04-14,Andhra Pradesh,473,14,9,28,450,WK 15-2020,Apr-2020,2020
2020-04-14,Arunanchal Pradesh,1,0,0,12,1,WK 15-2020,Apr-2020,2020
2020-04-14,Assam,31,0,1,18,30,WK 15-2020,Apr-2020,2020
2020-04-14,Bihar,66,26,1,10,39,WK 15-2020,Apr-2020,2020
2020-04-14,Chandigarh,21,7,0,4,14,WK 15-2020,Apr-2020,2020
2020-04-14,Chhattisgarh,31,10,0,22,21,WK 15-2020,Apr-2020,2020
2020-04-14,Dadara & Nagar Havelli,0,0,0,26,0,WK 15-2020,Apr-2020,2020
2020-04-14,Daman & Diu,0,0,0,25,0,WK 15-2020,Apr-2020,2020
2020-04-14,NCT of Delhi,1510,30,28,7,1452,WK 15-2020,Apr-2020,2020
2020-04-14,Goa,7,5,0,30,2,WK 15-2020,Apr-2020,2020
2020-04-14,Gujarat,617,55,26,24,536,WK 15-2020,Apr-2020,2020
2020-04-14,Haryana,199,34,3,6,162,WK 15-2020,Apr-2020,2020
2020-04-14,Himachal Pradesh,32,13,1,2,18,WK 15-2020,Apr-2020,2020
2020-04-14,Jammu & Kashmir,270,16,4,1,250,WK 15-2020,Apr-2020,2020
2020-04-14,Jharkhand,24,0,2,20,22,WK 15-2020,Apr-2020,2020
2020-04-14,Karnataka,258,65,9,29,184,WK 15-2020,Apr-2020,2020
2020-04-14,Kerala,379,198,3,32,178,WK 15-2020,Apr-2020,2020
2020-04-14,Ladakh,15,10,0,37,5,WK 15-2020,Apr-2020,2020
2020-04-14,Lakshadweep,0,0,0,31,0,WK 15-2020,Apr-2020,2020
2020-04-14,Madhya Pradesh,730,51,50,23,629,WK 15-2020,Apr-2020,2020
2020-04-14,Maharashtra,2337,229,160,27,1948,WK 15-2020,Apr-2020,2020
2020-04-14,Manipur,2,1,0,14,1,WK 15-2020,Apr-2020,2020
2020-04-14,Meghalaya,1,0,0,17,1,WK 15-2020,Apr-2020,2020
2020-04-14,Mizoram,1,0,0,15,1,WK 15-2020,Apr-2020,2020
2020-04-14,Nagaland,1,0,0,13,1,WK 15-2020,Apr-2020,2020
2020-04-14,Odisha,55,18,1,21,36,WK 15-2020,Apr-2020,2020
2020-04-14,Puducherry,7,1,0,34,6,WK 15-2020,Apr-2020,2020
2020-04-14,Punjab,176,14,12,3,150,WK 15-2020,Apr-2020,2020
2020-04-14,Rajasthan,879,133,3,8,743,WK 15-2020,Apr-2020,2020
2020-04-14,Sikkim,0,0,0,11,0,WK 15-2020,Apr-2020,2020
2020-04-14,Tamil Nadu,1173,58,11,33,1104,WK 15-2020,Apr-2020,2020
2020-04-14,Telangana,624,100,17,36,507,WK 15-2020,Apr-2020,2020
2020-04-14,Tripura,2,0,0,16,2,WK 15-2020,Apr-2020,2020
2020-04-14,Uttar Pradesh,657,49,5,9,603,WK 15-2020,Apr-2020,2020
2020-04-14,Uttarakhand,35,7,0,5,28,WK 15-2020,Apr-2020,2020
2020-04-14,West Bengal,190,36,7,19,147,WK 15-2020,Apr-2020,2020
2020-04-15,Andaman & Nicobar Island,11,10,0,35,1,WK 15-2020,Apr-2020,2020
2020-04-15,Andhra Pradesh,503,16,9,28,478,WK 15-2020,Apr-2020,2020
2020-04-15,Arunanchal Pradesh,1,0,0,12,1,WK 15-2020,Apr-2020,2020
2020-04-15,Assam,33,0,1,18,32,WK 15-2020,Apr-2020,2020
2020-04-15,Bihar,70,29,1,10,40,WK 15-2020,Apr-2020,2020
2020-04-15,Chandigarh,21,7,0,4,14,WK 15-2020,Apr-2020,2020
2020-04-15,Chhattisgarh,33,13,0,22,20,WK 15-2020,Apr-2020,2020
2020-04-15,Dadara & Nagar Havelli,0,0,0,26,0,WK 15-2020,Apr-2020,2020
2020-04-15,Daman & Diu,0,0,0,25,0,WK 15-2020,Apr-2020,2020
2020-04-15,NCT of Delhi,1561,30,30,7,1501,WK 15-2020,Apr-2020,2020
2020-04-15,Goa,7,5,0,30,2,WK 15-2020,Apr-2020,2020
2020-04-15,Gujarat,695,59,30,24,606,WK 15-2020,Apr-2020,2020
2020-04-15,Haryana,199,34,3,6,162,WK 15-2020,Apr-2020,2020
2020-04-15,Himachal Pradesh,33,13,1,2,19,WK 15-2020,Apr-2020,2020
2020-04-15,Jammu & Kashmir,278,30,4,1,244,WK 15-2020,Apr-2020,2020
2020-04-15,Jharkhand,27,0,2,20,25,WK 15-2020,Apr-2020,2020
2020-04-15,Karnataka,277,75,11,29,191,WK 15-2020,Apr-2020,2020
2020-04-15,Kerala,387,211,3,32,173,WK 15-2020,Apr-2020,2020
2020-04-15,Ladakh,17,10,0,37,7,WK 15-2020,Apr-2020,2020
2020-04-15,Lakshadweep,0,0,0,31,0,WK 15-2020,Apr-2020,2020
2020-04-15,Madhya Pradesh,987,64,53,23,870,WK 15-2020,Apr-2020,2020
2020-04-15,Maharashtra,2687,259,178,27,2250,WK 15-2020,Apr-2020,2020
2020-04-15,Manipur,2,1,0,14,1,WK 15-2020,Apr-2020,2020
2020-04-15,Meghalaya,7,0,1,17,6,WK 15-2020,Apr-2020,2020
2020-04-15,Mizoram,1,0,0,15,1,WK 15-2020,Apr-2020,2020
2020-04-15,Nagaland,0,0,0,13,0,WK 15-2020,Apr-2020,2020
2020-04-15,Odisha,60,18,1,21,41,WK 15-2020,Apr-2020,2020
2020-04-15,Puducherry,7,1,0,34,6,WK 15-2020,Apr-2020,2020
2020-04-15,Punjab,186,14,13,3,159,WK 15-2020,Apr-2020,2020
2020-04-15,Rajasthan,1005,147,3,8,855,WK 15-2020,Apr-2020,2020
2020-04-15,Sikkim,0,0,0,11,0,WK 15-2020,Apr-2020,2020
2020-04-15,Tamil Nadu,1204,81,12,33,1111,WK 15-2020,Apr-2020,2020
2020-04-15,Telangana,647,120,18,36,509,WK 15-2020,Apr-2020,2020
2020-04-15,Tripura,2,0,0,16,2,WK 15-2020,Apr-2020,2020
2020-04-15,Uttar Pradesh,735,51,11,9,673,WK 15-2020,Apr-2020,2020
2020-04-15,Uttarakhand,37,9,0,5,28,WK 15-2020,Apr-2020,2020
2020-04-15,West Bengal,213,37,7,19,169,WK 15-2020,Apr-2020,2020
2020-04-16,Andaman & Nicobar Island,11,10,0,35,1,WK 15-2020,Apr-2020,2020
2020-04-16,Andhra Pradesh,534,20,14,28,500,WK 15-2020,Apr-2020,2020
